danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,song_popularity
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,0yLdNVWF3Srea0uzk55zFn,spotify:track:0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/tracks/0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/audio-analysis/0yLdNVWF3Srea0uzk55zFn,200455,4,Flowers,97
0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,audio_features,4nrPB8O7Y7wsOCJdgXkthe,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/tracks/4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/audio-analysis/4nrPB8O7Y7wsOCJdgXkthe,218289,4,"Shakira: Bzrp Music Sessions, Vol. 53",93
0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98,audio_features,4sOX1nhpKwFWPvoMMExi3q,spotify:track:4sOX1nhpKwFWPvoMMExi3q,https://api.spotify.com/v1/tracks/4sOX1nhpKwFWPvoMMExi3q,https://api.spotify.com/v1/audio-analysis/4sOX1nhpKwFWPvoMMExi3q,221075,4,Primadonna,76
0.73,0.704,9,-7.04,1,0.0698,0.0417,0.00061,0.202,0.584,115.123,audio_features,6g4ZPyb7WdvC67X160oKmb,spotify:track:6g4ZPyb7WdvC67X160oKmb,https://api.spotify.com/v1/tracks/6g4ZPyb7WdvC67X160oKmb,https://api.spotify.com/v1/audio-analysis/6g4ZPyb7WdvC67X160oKmb,217800,4,Perra,49
0.647,0.728,2,-5.262,1,0.16,0.0579,0.0,0.966,0.479,100.023,audio_features,61EzFxAX2KM66vmcc2CO1k,spotify:track:61EzFxAX2KM66vmcc2CO1k,https://api.spotify.com/v1/tracks/61EzFxAX2KM66vmcc2CO1k,https://api.spotify.com/v1/audio-analysis/61EzFxAX2KM66vmcc2CO1k,209573,4,Así Bailaba,55
0.761,0.723,9,-7.386,1,0.0515,0.097,0.212,0.0997,0.462,114.987,audio_features,0xSbYIN12FB1giZI5ymCdz,spotify:track:0xSbYIN12FB1giZI5ymCdz,https://api.spotify.com/v1/tracks/0xSbYIN12FB1giZI5ymCdz,https://api.spotify.com/v1/audio-analysis/0xSbYIN12FB1giZI5ymCdz,329000,4,Too Many Drugs,55
0.927,0.801,0,-4.175,1,0.238,0.194,0.0,0.0459,0.701,101.986,audio_features,1Qz2w5X6i668NCl1waBzGG,spotify:track:1Qz2w5X6i668NCl1waBzGG,https://api.spotify.com/v1/tracks/1Qz2w5X6i668NCl1waBzGG,https://api.spotify.com/v1/audio-analysis/1Qz2w5X6i668NCl1waBzGG,209107,4,La Niña,50
0.945,0.58,10,-6.33,0,0.0867,0.509,4.81e-05,0.666,0.964,132.991,audio_features,5m4QyDRlKdQmiX1mFnQQij,spotify:track:5m4QyDRlKdQmiX1mFnQQij,https://api.spotify.com/v1/tracks/5m4QyDRlKdQmiX1mFnQQij,https://api.spotify.com/v1/audio-analysis/5m4QyDRlKdQmiX1mFnQQij,228085,4,Quererte a medias,39
0.813,0.874,8,-2.73,0,0.277,0.128,6.84e-06,0.132,0.835,129.896,audio_features,0ccNNtxwKNHzzzGI4hIb2z,spotify:track:0ccNNtxwKNHzzzGI4hIb2z,https://api.spotify.com/v1/tracks/0ccNNtxwKNHzzzGI4hIb2z,https://api.spotify.com/v1/audio-analysis/0ccNNtxwKNHzzzGI4hIb2z,211807,4,La Confesión,22
0.822,0.864,9,-6.097,0,0.103,0.386,6.87e-06,0.14,0.749,93.999,audio_features,6LsYwZwT0s5w51Z8Y8Fy7T,spotify:track:6LsYwZwT0s5w51Z8Y8Fy7T,https://api.spotify.com/v1/tracks/6LsYwZwT0s5w51Z8Y8Fy7T,https://api.spotify.com/v1/audio-analysis/6LsYwZwT0s5w51Z8Y8Fy7T,261788,4,Por Si Te Vas,22
0.858,0.895,0,-2.394,1,0.293,0.0692,0.000151,0.272,0.837,99.794,audio_features,4KcZS9aLgl2AZuRQl5E3c6,spotify:track:4KcZS9aLgl2AZuRQl5E3c6,https://api.spotify.com/v1/tracks/4KcZS9aLgl2AZuRQl5E3c6,https://api.spotify.com/v1/audio-analysis/4KcZS9aLgl2AZuRQl5E3c6,203557,4,Y Quién No,21
0.73,0.714,0,-2.979,1,0.107,0.0877,0.0,0.117,0.924,94.896,audio_features,2oRtscLLwdLMiDpRoQOSWW,spotify:track:2oRtscLLwdLMiDpRoQOSWW,https://api.spotify.com/v1/tracks/2oRtscLLwdLMiDpRoQOSWW,https://api.spotify.com/v1/audio-analysis/2oRtscLLwdLMiDpRoQOSWW,202153,4,Flamenkito,56
0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,audio_features,2SiAcexM2p1yX6joESbehd,spotify:track:2SiAcexM2p1yX6joESbehd,https://api.spotify.com/v1/tracks/2SiAcexM2p1yX6joESbehd,https://api.spotify.com/v1/audio-analysis/2SiAcexM2p1yX6joESbehd,174045,4,LLYLM,83
0.6,0.691,5,-5.265,1,0.0798,0.742,0.00021,0.318,0.554,116.801,audio_features,0BIotAHhS0t5TUCLfVEZBo,spotify:track:0BIotAHhS0t5TUCLfVEZBo,https://api.spotify.com/v1/tracks/0BIotAHhS0t5TUCLfVEZBo,https://api.spotify.com/v1/audio-analysis/0BIotAHhS0t5TUCLfVEZBo,283500,3,Que Vengan A Por Mí,42
0.802,0.728,8,-6.456,0,0.0533,0.0233,0.0,0.119,0.782,121.92,audio_features,20CozgjF6bshBw8cLhN23B,spotify:track:20CozgjF6bshBw8cLhN23B,https://api.spotify.com/v1/tracks/20CozgjF6bshBw8cLhN23B,https://api.spotify.com/v1/audio-analysis/20CozgjF6bshBw8cLhN23B,202185,4,Nochentera,83
0.719,0.603,8,-5.737,1,0.0325,0.608,0.0,0.116,0.697,120.048,audio_features,2ERn9fVsix3AyuVv7UN6RC,spotify:track:2ERn9fVsix3AyuVv7UN6RC,https://api.spotify.com/v1/tracks/2ERn9fVsix3AyuVv7UN6RC,https://api.spotify.com/v1/audio-analysis/2ERn9fVsix3AyuVv7UN6RC,197093,4,Die schönsten Tage,68
0.83,0.615,9,-9.064,0,0.251,0.119,5.7e-05,0.135,0.7,150.117,audio_features,5qDzKUTHCUiKhewBa9STsE,spotify:track:5qDzKUTHCUiKhewBa9STsE,https://api.spotify.com/v1/tracks/5qDzKUTHCUiKhewBa9STsE,https://api.spotify.com/v1/audio-analysis/5qDzKUTHCUiKhewBa9STsE,164200,4,Auf die Party,75
0.82,0.679,8,-5.333,1,0.0875,0.482,0.0,0.105,0.516,145.026,audio_features,2toCf2FDbTIdWriPI6kcsY,spotify:track:2toCf2FDbTIdWriPI6kcsY,https://api.spotify.com/v1/tracks/2toCf2FDbTIdWriPI6kcsY,https://api.spotify.com/v1/audio-analysis/2toCf2FDbTIdWriPI6kcsY,192836,4,Ich hass dich,70
0.77,0.76,11,-6.75,0,0.105,0.00586,0.0,0.186,0.61,137.943,audio_features,414rOgwyJUcY49sGW5CsZy,spotify:track:414rOgwyJUcY49sGW5CsZy,https://api.spotify.com/v1/tracks/414rOgwyJUcY49sGW5CsZy,https://api.spotify.com/v1/audio-analysis/414rOgwyJUcY49sGW5CsZy,231567,4,MR. MEYER,47
0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,audio_features,5ZduaRci3iNUiDfJbBfAaf,spotify:track:5ZduaRci3iNUiDfJbBfAaf,https://api.spotify.com/v1/tracks/5ZduaRci3iNUiDfJbBfAaf,https://api.spotify.com/v1/audio-analysis/5ZduaRci3iNUiDfJbBfAaf,102861,4,Give It To Me - Full Vocal Mix,87
0.804,0.645,6,-7.069,0,0.0773,0.642,0.0,0.173,0.912,142.09,audio_features,7xaqxUl08zOg0YNUHokQpq,spotify:track:7xaqxUl08zOg0YNUHokQpq,https://api.spotify.com/v1/tracks/7xaqxUl08zOg0YNUHokQpq,https://api.spotify.com/v1/audio-analysis/7xaqxUl08zOg0YNUHokQpq,152827,4,Sehnsucht,75
0.782,0.565,6,-7.221,0,0.136,0.113,0.000634,0.0954,0.137,134.962,audio_features,2hP1NjQ0P5B0B5yB2IMf6q,spotify:track:2hP1NjQ0P5B0B5yB2IMf6q,https://api.spotify.com/v1/tracks/2hP1NjQ0P5B0B5yB2IMf6q,https://api.spotify.com/v1/audio-analysis/2hP1NjQ0P5B0B5yB2IMf6q,202709,4,Glatteis,67
0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,audio_features,3BKD1PwArikchz2Zrlp1qi,spotify:track:3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/tracks/3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/audio-analysis/3BKD1PwArikchz2Zrlp1qi,140018,4,Baby Don't Hurt Me,94
0.777,0.73,6,-5.316,1,0.0472,0.052,0.0,0.125,0.803,129.984,audio_features,5aY2pfyGLxBpuI4TruqmQx,spotify:track:5aY2pfyGLxBpuI4TruqmQx,https://api.spotify.com/v1/tracks/5aY2pfyGLxBpuI4TruqmQx,https://api.spotify.com/v1/audio-analysis/5aY2pfyGLxBpuI4TruqmQx,165403,4,LAS 12,67
0.592,0.96,1,-6.969,1,0.12,0.0249,0.858,0.445,0.0385,135.002,audio_features,1mWbB1bGjvdZR3vFtaT2gL,spotify:track:1mWbB1bGjvdZR3vFtaT2gL,https://api.spotify.com/v1/tracks/1mWbB1bGjvdZR3vFtaT2gL,https://api.spotify.com/v1/audio-analysis/1mWbB1bGjvdZR3vFtaT2gL,248889,4,Gam Gam - 2023,65
0.678,0.538,6,-16.121,1,0.158,0.632,0.935,0.112,0.291,136.986,audio_features,0UYjebmO93HnkBaac49FMu,spotify:track:0UYjebmO93HnkBaac49FMu,https://api.spotify.com/v1/tracks/0UYjebmO93HnkBaac49FMu,https://api.spotify.com/v1/audio-analysis/0UYjebmO93HnkBaac49FMu,485255,4,A62 [I],6
